ICES_Area,Metier6_FishingActivity
41,MIS_CRU_0_0_0
41,MIS_DEF_0_0_0
41,MIS_DWF_0_0_0
41,MIS_LPF_0_0_0
41,MIS_MCF_0_0_0
41,MIS_MIS_0_0_0
41,MIS_MOL_0_0_0
41,MIS_SPF_0_0_0
41,OTB_CEP_>=120_0_0
41,OTB_CEP_>0_0_0
41,OTB_CEP_70-119_0_0
41,OTB_CRU_>=120_0_0
41,OTB_CRU_>0_0_0
41,OTB_CRU_32-69_0_0
41,OTB_CRU_70-119_0_0
41,OTB_DEF_>=120_0_0
41,OTB_DEF_>0_0_0
41,OTB_DEF_70-119_0_0
41,OTB_MCF_>=120_0_0
41,OTB_MCF_>0_0_0
41,OTB_MCF_70-119_0_0
41,OTB_MCF_70-99_0_0
41,OTB_MDD_>=120_0_0
41,OTB_MDD_>0_0_0
41,OTM_DEF_>=120_0_0
41,OTM_DEF_>0_0_0
41,OTM_LPF_>=120_0_0
41,OTM_LPF_>0_0_0
41,OTM_LPF_70-119_0_0
41,OTM_MCF_>=120_0_0
41,OTM_MCF_>0_0_0
41,OTM_MCF_70-119_0_0
41,OTM_SPF_>=120_0_0
41,OTM_SPF_>0_0_0
41,OTM_SPF_32-69_0_0
41,OTM_SPF_70-119_0_0
41,PS_LPF_>=120_0_0
41,PS_LPF_>0_0_0
41,PS_LPF_10-31_0_0
41,PS_LPF_32-69_0_0
41,PS_LPF_70-119_0_0
41,PS_SPF_>=120_0_0
41,PS_SPF_>0_0_0
41,PS_SPF_10-31_0_0
41,PS_SPF_32-69_0_0
41,PS_SPF_70-119_0_0
41,PTM_LPF_>=120_0_0
41,PTM_LPF_>0_0_0
41,PTM_LPF_32-69_0_0
41,PTM_LPF_70-119_0_0
41,OTB_MDD_70-119_0_0
41,OTM_DEF_70-119_0_0
41,OTM_CRU_>0_0_0
41,OTM_CRU_16-31_0_0
47,DIV_MOL_0_0_0
47,FPN_LPF_>0_0_0
47,FPO_CRU_>0_0_0
47,FPO_DEF_>0_0_0
47,FPO_FIF_>0_0_0
47,LH_DEF_0_0_0
47,LH_FIF_0_0_0
47,LH_LPF_0_0_0
47,LH_MOL_0_0_0
47,LH_SPF_0_0_0
47,LHM_DEF_0_0_0
47,LHM_FIF_0_0_0
47,LHM_LPF_0_0_0
47,LHM_MOL_0_0_0
47,LHM_SPF_0_0_0
47,LHP_DEF_0_0_0
47,LHP_FIF_0_0_0
47,LHP_LPF_0_0_0
47,LHP_MOL_0_0_0
47,LHP_SPF_0_0_0
47,LLD_DWF_0_0_0
47,LLD_LPF_0_0_0
47,LLS_DEF_0_0_0
47,LLS_FIF_0_0_0
47,LLS_MOL_0_0_0
47,LLS_SPF_0_0_0
47,LTL_LPF_0_0_0
47,MIS_CEP_0_0_0
47,MIS_CRU_0_0_0
47,MIS_DEF_0_0_0
47,MIS_DWF_0_0_0
47,MIS_LPF_0_0_0
47,MIS_MCF_0_0_0
47,MIS_MIS_0_0_0
47,MIS_MOL_0_0_0
47,MIS_SPF_0_0_0
47,OTB_CEP_>=120_0_0
47,OTB_CEP_>0_0_0
47,OTB_CEP_70-119_0_0
47,OTB_CRU_>=120_0_0
47,OTB_CRU_>0_0_0
47,OTB_CRU_32-69_0_0
47,OTB_CRU_70-119_0_0
47,OTB_DEF_>=120_0_0
47,OTB_DEF_>0_0_0
47,OTB_DEF_70-119_0_0
47,OTB_MCF_>=120_0_0
47,OTB_MCF_>0_0_0
47,OTB_MCF_70-119_0_0
47,OTB_MDD_>=120_0_0
47,OTB_MDD_>0_0_0
47,OTM_DEF_>=120_0_0
47,OTM_DEF_>0_0_0
47,OTM_LPF_>=120_0_0
47,OTM_LPF_>0_0_0
47,OTM_LPF_70-119_0_0
47,OTM_MCF_>=120_0_0
47,OTM_MCF_>0_0_0
47,OTM_MCF_70-119_0_0
47,OTM_SPF_>=120_0_0
47,OTM_SPF_>0_0_0
47,OTM_SPF_32-39_0_0
47,OTM_SPF_32-69_0_0
47,OTM_SPF_70-119_0_0
47,PS_LPF_>=120_0_0
47,PS_LPF_>0_0_0
47,PS_LPF_10-31_0_0
47,PS_LPF_32-69_0_0
47,PS_LPF_70-119_0_0
47,PS_SPF_>=120_0_0
47,PS_SPF_>0_0_0
47,PS_SPF_10-31_0_0
47,PS_SPF_32-69_0_0
47,PS_SPF_70-119_0_0
47,PTM_LPF_>=120_0_0
47,PTM_LPF_>0_0_0
47,PTM_LPF_32-69_0_0
47,PTM_LPF_70-119_0_0
47,OTB_MDD_70-119_0_0
47,OTM_DEF_70-119_0_0
47,OTM_CRU_>0_0_0
47,OTM_CRU_16-31_0_0
48,DIV_MOL_0_0_0
48,FPN_LPF_>0_0_0
48,FPO_CRU_>0_0_0
48,FPO_DEF_>0_0_0
48,FPO_FIF_>0_0_0
48,LH_DEF_0_0_0
48,LH_FIF_0_0_0
48,LH_LPF_0_0_0
48,LH_MOL_0_0_0
48,LH_SPF_0_0_0
48,LHM_DEF_0_0_0
48,LHM_FIF_0_0_0
48,LHM_LPF_0_0_0
48,LHM_MOL_0_0_0
48,LHM_SPF_0_0_0
48,LHP_DEF_0_0_0
48,LHP_FIF_0_0_0
48,LHP_LPF_0_0_0
48,LHP_MOL_0_0_0
48,LHP_SPF_0_0_0
48,LLD_DWF_0_0_0
48,LLD_LPF_0_0_0
48,LLS_DEF_0_0_0
48,LLS_FIF_0_0_0
48,LLS_MOL_0_0_0
48,LLS_SPF_0_0_0
48,LTL_LPF_0_0_0
48,MIS_CEP_0_0_0
48,MIS_CRU_0_0_0
48,MIS_DEF_0_0_0
48,MIS_DWF_0_0_0
48,MIS_LPF_0_0_0
48,MIS_MCF_0_0_0
48,MIS_MIS_0_0_0
48,MIS_MOL_0_0_0
48,MIS_SPF_0_0_0
48,OTB_CEP_>=120_0_0
48,OTB_CEP_>0_0_0
48,OTB_CEP_70-119_0_0
48,OTB_CRU_>=120_0_0
48,OTB_CRU_>0_0_0
48,OTB_CRU_32-69_0_0
48,OTB_CRU_70-119_0_0
48,OTB_DEF_>=120_0_0
48,OTB_DEF_>0_0_0
48,OTB_DEF_70-119_0_0
48,OTB_MCF_>=120_0_0
48,OTB_MCF_>0_0_0
48,OTB_MCF_70-119_0_0
48,OTB_MDD_>=120_0_0
48,OTB_MDD_>0_0_0
48,OTM_DEF_>=120_0_0
48,OTM_DEF_>0_0_0
48,OTM_LPF_>=120_0_0
48,OTM_LPF_>0_0_0
48,OTM_LPF_70-119_0_0
48,OTM_MCF_>=120_0_0
48,OTM_MCF_>0_0_0
48,OTM_MCF_70-119_0_0
48,OTM_SPF_>=120_0_0
48,OTM_SPF_>0_0_0
48,OTM_SPF_32-69_0_0
48,OTM_SPF_70-119_0_0
48,PS_LPF_>=120_0_0
48,PS_LPF_>0_0_0
48,PS_LPF_10-31_0_0
48,PS_LPF_32-69_0_0
48,PS_LPF_70-119_0_0
48,PS_SPF_>=120_0_0
48,PS_SPF_>0_0_0
48,PS_SPF_10-31_0_0
48,PS_SPF_32-69_0_0
48,PS_SPF_70-119_0_0
48,PTM_LPF_>=120_0_0
48,PTM_LPF_>0_0_0
48,PTM_LPF_32-69_0_0
48,PTM_LPF_70-119_0_0
48,OTB_MDD_70-119_0_0
48,OTM_DEF_70-119_0_0
48,OTM_CRU_>0_0_0
48,OTM_CRU_16-31_0_0
51,DIV_MOL_0_0_0
51,FPN_LPF_>0_0_0
51,FPO_CRU_>0_0_0
